date,home_team,away_team,home_score,away_score,league,round
2025-06-27,福島,八戸,0,1,Ｊ３,第１８節
2025-06-25,横浜FM,FC東京,0,3,Ｊ１,第１５節
2025-06-25,川崎Ｆ,新潟,3,1,Ｊ１,第１５節
2025-06-22,八戸,群馬,2,0,Ｊ３,第１７節
2025-06-22,秋田,山形,2,3,Ｊ２,第２０節
2025-06-22,熊本,長崎,1,3,Ｊ２,第２０節
2025-06-22,横浜FC,広島,0,4,Ｊ１,第２１節
2025-06-22,Ｇ大阪,FC東京,2,0,Ｊ１,第２１節
2025-06-22,FC大阪,福島,7,1,Ｊ３,第１７節
2025-06-22,仙台,甲府,0,0,Ｊ２,第２０節
2025-06-21,金沢,相模原,0,0,Ｊ３,第１７節
2025-06-21,讃岐,長野,0,1,Ｊ３,第１７節
2025-06-21,今治,水戸,1,2,Ｊ２,第２０節
2025-06-21,高知,北九州,3,2,Ｊ３,第１７節
2025-06-21,Ｃ大阪,東京Ｖ,2,1,Ｊ１,第２１節
2025-06-21,岐阜,宮崎,2,3,Ｊ３,第１７節
2025-06-21,愛媛,山口,2,0,Ｊ２,第２０節
2025-06-21,いわき,富山,3,1,Ｊ２,第２０節
2025-06-21,沼津,琉球,0,2,Ｊ３,第１７節
2025-06-21,松本,鹿児島,1,1,Ｊ３,第１７節
2025-06-21,横浜FM,岡山,0,1,Ｊ１,第２１節
2025-06-21,千葉,磐田,0,1,Ｊ２,第２０節
2025-06-21,徳島,大分,2,0,Ｊ２,第２０節
2025-06-21,川崎Ｆ,神戸,1,2,Ｊ１,第２１節
2025-06-21,福岡,新潟,3,2,Ｊ１,第２１節
2025-06-21,奈良,栃木Ｃ,2,1,Ｊ３,第１７節
2025-06-21,名古屋,清水,1,1,Ｊ１,第２１節
2025-06-21,柏,京都,3,3,Ｊ１,第２１節
2025-06-21,藤枝,札幌,1,3,Ｊ２,第２０節
2025-06-21,鳥取,栃木Ｃ,2,1,Ｊ３,第１７節
2025-06-21,町田,鹿島,2,1,Ｊ１,第２１節
2025-06-21,大宮,鳥栖,0,0,Ｊ２,第２０節
2025-06-15,神戸,名古屋,2,1,Ｊ１,第２０節
2025-06-15,岡山,福岡,0,1,Ｊ１,第２０節
2025-06-15,群馬,讃岐,3,3,Ｊ３,第１６節
2025-06-15,甲府,熊本,1,1,Ｊ２,第１９節
2025-06-15,札幌,今治,2,2,Ｊ２,第１９節
2025-06-15,山形,仙台,3,4,Ｊ２,第１９節
2025-06-15,山口,いわき,2,2,Ｊ２,第１９節
2025-06-15,新潟,横浜FM,1,0,Ｊ１,第２０節
2025-06-15,長崎,大宮,3,3,Ｊ２,第１９節
2025-06-15,清水,Ｇ大阪,0,0,Ｊ１,第２０節
2025-06-15,大分,秋田,1,2,Ｊ２,第１９節
2025-06-15,東京Ｖ,柏,0,3,Ｊ１,第２０節
2025-06-15,徳島,千葉,3,3,Ｊ２,第１９節
2025-06-15,磐田,愛媛,4,0,Ｊ２,第１９節
2025-06-15,富山,藤枝,0,1,Ｊ２,第１９節
2025-06-15,福島,栃木Ｃ,2,2,Ｊ３,第１６節
2025-06-14,湘南,町田,1,2,Ｊ１,第２０節
2025-06-14,横浜FC,川崎Ｆ,0,1,Ｊ１,第２０節
2025-06-14,宮崎,FC大阪,0,0,Ｊ３,第１６節
2025-06-14,金沢,栃木Ｃ,1,2,Ｊ３,第１６節
2025-06-14,鹿児島,八戸,1,1,Ｊ３,第１６節
2025-06-14,鹿島,広島,1,1,Ｊ１,第２０節
2025-06-14,FC東京,Ｃ大阪,2,2,Ｊ１,第２０節
2025-06-14,水戸,鳥栖,1,0,Ｊ２,第１９節
2025-06-14,長野,岐阜,1,2,Ｊ３,第１６節
2025-06-14,奈良,鳥取,1,0,Ｊ３,第１６節
2025-06-14,北九州,沼津,1,0,Ｊ３,第１６節
2025-06-14,相模原,高知,0,0,Ｊ３,第１６節
2025-06-14,琉球,松本,0,3,Ｊ３,第１６節
2025-06-08,大宮,愛媛,1,1,Ｊ２,第１７節
2025-06-08,高知,奈良,3,2,Ｊ３,第１５節
2025-06-08,沼津,金沢,3,1,Ｊ３,第１５節
2025-06-08,八戸,琉球,1,0,Ｊ３,第１５節
2025-06-08,鳥取,長野,2,0,Ｊ３,第１５節
2025-06-08,栃木Ｃ,北九州,1,0,Ｊ３,第１５節
2025-06-08,富山,水戸,0,1,Ｊ２,第１７節
2025-06-07,栃木Ｃ,群馬,0,1,Ｊ３,第１５節
2025-06-07,松本,福島,1,2,Ｊ３,第１５節
2025-06-07,鹿児島,岐阜,3,2,Ｊ３,第１５節
2025-06-07,讃岐,FC大阪,0,3,Ｊ３,第１５節
2025-06-07,今治,大分,1,1,Ｊ２,第１７節
2025-06-07,宮崎,相模原,4,2,Ｊ３,第１５節
2025-06-01,Ｃ大阪,清水,4,2,Ｊ１,第１９節
2025-06-01,いわき,熊本,5,1,Ｊ２,第１８節
2025-06-01,浦和,横浜FC,2,1,Ｊ１,第１９節
2025-06-01,岐阜,高知,1,1,Ｊ３,第１４節
2025-06-01,金沢,琉球,1,2,Ｊ３,第１４節
2025-06-01,湘南,岡山,1,1,Ｊ１,第１９節
2025-06-01,八戸,松本,2,0,Ｊ３,第１４節
2025-06-01,福島,相模原,3,3,Ｊ３,第１４節
2025-05-31,FC大阪,鹿児島,3,0,Ｊ３,第１４節
2025-05-31,Ｇ大阪,鹿島,0,1,Ｊ１,第１９節
2025-05-31,京都,FC東京,3,0,Ｊ１,第１９節
2025-05-31,群馬,沼津,0,0,Ｊ３,第１４節
2025-05-31,広島,川崎Ｆ,1,2,Ｊ１,第１９節
2025-05-31,今治,徳島,0,1,Ｊ２,第１８節
2025-05-31,秋田,富山,2,2,Ｊ２,第１８節
2025-05-31,水戸,長崎,3,0,Ｊ２,第１８節
2025-05-31,仙台,札幌,1,1,Ｊ２,第１８節
2025-05-31,千葉,山口,0,0,Ｊ２,第１８節
2025-05-31,大宮,磐田,2,2,Ｊ２,第１８節
2025-05-31,大分,甲府,2,1,Ｊ２,第１８節
2025-05-31,柏,神戸,1,3,Ｊ１,第１９節
2025-05-31,町田,横浜FM,0,3,Ｊ１,第１９節
2025-05-31,名古屋,新潟,3,0,Ｊ１,第１９節
2025-05-31,北九州,宮崎,1,1,Ｊ３,第１４節
2025-05-31,福岡,東京Ｖ,0,0,Ｊ１,第１９節
2025-05-31,鳥栖,愛媛,2,2,Ｊ２,第１８節
2025-05-31,栃木Ｃ,讃岐,1,0,Ｊ３,第１４節
2025-05-31,鳥取,栃木Ｃ,1,0,Ｊ３,第１４節
2025-05-31,長野,奈良,1,0,Ｊ３,第１４節
2025-05-31,藤枝,山形,2,1,Ｊ２,第１８節
2025-05-28,浦和,Ｃ大阪,0,0,Ｊ１,第２２節
2025-05-25,山形,甲府,0,4,Ｊ２,第１７節
2025-05-25,FC東京,広島,0,3,Ｊ１,第１８節
2025-05-25,いわき,仙台,1,2,Ｊ２,第１７節
2025-05-25,横浜FC,柏,1,1,Ｊ１,第１８節
2025-05-25,横浜FM,鹿島,3,1,Ｊ１,第１８節
2025-05-25,岡山,町田,2,2,Ｊ１,第１８節
2025-05-25,熊本,秋田,1,2,Ｊ２,第１７節
2025-05-25,清水,神戸,3,2,Ｊ１,第１８節
2025-05-25,山口,藤枝,0,0,Ｊ２,第１７節
2025-05-25,新潟,湘南,2,1,Ｊ１,第１８節
2025-05-25,川崎Ｆ,Ｇ大阪,2,2,Ｊ１,第１８節
2025-05-25,長崎,千葉,1,0,Ｊ２,第１７節
2025-05-25,東京Ｖ,京都,1,0,Ｊ１,第１８節
2025-05-25,徳島,磐田,1,1,Ｊ２,第１７節
2025-05-25,鳥栖,札幌,2,1,Ｊ２,第１７節
2025-05-24,Ｃ大阪,福岡,2,0,Ｊ１,第１８節
2025-05-24,名古屋,浦和,2,1,Ｊ１,第１８節
2025-05-21,川崎Ｆ,浦和,2,2,Ｊ１,第１３節
2025-05-21,横浜FM,神戸,1,2,Ｊ１,第１３節
2025-05-18,松本,鳥取,1,0,Ｊ３,第１３節
2025-05-18,岡山,新潟,2,1,Ｊ１,第１７節
2025-05-18,山口,山形,1,0,Ｊ２,第１６節
2025-05-18,讃岐,八戸,2,1,Ｊ３,第１３節
2025-05-18,愛媛,徳島,0,2,Ｊ２,第１６節
2025-05-18,沼津,長野,0,0,Ｊ３,第１３節
2025-05-18,川崎Ｆ,Ｃ大阪,2,0,Ｊ１,第１７節
2025-05-18,相模原,FC大阪,1,2,Ｊ３,第１３節
2025-05-18,大分,長崎,1,2,Ｊ２,第１６節
2025-05-17,秋田,鳥栖,1,2,Ｊ２,第１６節
2025-05-17,浦和,FC東京,3,2,Ｊ１,第１７節
2025-05-17,横浜FM,京都,0,3,Ｊ１,第１７節
2025-05-17,宮崎,金沢,1,1,Ｊ３,第１３節
2025-05-17,群馬,高知,2,2,Ｊ３,第１３節
2025-05-17,広島,東京Ｖ,2,1,Ｊ１,第１７節
2025-05-17,甲府,今治,1,0,Ｊ２,第１６節
2025-05-17,札幌,富山,2,1,Ｊ２,第１６節
2025-05-17,鹿児島,福島,5,0,Ｊ３,第１３節
2025-05-17,鹿島,清水,1,0,Ｊ１,第１７節
2025-05-17,湘南,横浜FC,0,1,Ｊ１,第１７節
2025-05-17,水戸,熊本,2,1,Ｊ２,第１６節
2025-05-17,千葉,仙台,0,0,Ｊ２,第１６節
2025-05-17,町田,柏,3,0,Ｊ１,第１７節
2025-05-17,藤枝,大宮,0,1,Ｊ２,第１６節
2025-05-17,栃木Ｃ,岐阜,1,0,Ｊ３,第１３節
2025-05-17,奈良,栃木Ｃ,0,0,Ｊ３,第１３節
2025-05-17,磐田,いわき,2,0,Ｊ２,第１６節
2025-05-17,福岡,名古屋,1,1,Ｊ１,第１７節
2025-05-17,神戸,Ｇ大阪,3,2,Ｊ１,第１７節
2025-05-17,琉球,北九州,0,1,Ｊ３,第１３節
